experiment,vix_floor,vix_ceiling,base_stop,hv_scale,mc_p5_dd,hedged_sharpe,annual_return_pct,passes_30pct
EXP-400,18.0,38.0,2.0,0.05,-14.05,2.963,30.79,True
EXP-400,18.0,38.0,2.5,0.05,-14.05,2.963,30.79,True
EXP-400,18.0,38.0,3.0,0.05,-14.05,2.963,30.79,True
EXP-400,18.0,38.0,3.5,0.05,-14.05,2.963,30.79,True
EXP-400,18.0,38.0,1.5,0.1,-14.18,2.948,30.69,True
EXP-400,18.0,38.0,1.5,0.15,-14.18,2.935,30.62,True
EXP-400,18.0,38.0,1.5,0.25,-14.18,2.935,30.62,True
EXP-400,18.0,38.0,2.0,0.1,-14.18,2.948,30.69,True
EXP-400,18.0,38.0,2.0,0.15,-14.18,2.935,30.62,True
EXP-400,18.0,38.0,2.0,0.25,-14.18,2.935,30.62,True
EXP-400,18.0,38.0,2.5,0.1,-14.18,2.948,30.69,True
EXP-400,18.0,38.0,2.5,0.15,-14.18,2.935,30.62,True
EXP-400,18.0,38.0,2.5,0.25,-14.18,2.935,30.62,True
EXP-400,18.0,38.0,3.0,0.1,-14.18,2.948,30.69,True
EXP-400,18.0,38.0,3.0,0.15,-14.18,2.935,30.62,True
EXP-400,18.0,38.0,3.0,0.25,-14.18,2.935,30.62,True
EXP-400,18.0,38.0,3.5,0.1,-14.18,2.948,30.69,True
EXP-400,18.0,38.0,3.5,0.15,-14.18,2.935,30.62,True
EXP-400,18.0,38.0,3.5,0.25,-14.18,2.935,30.62,True
EXP-400,20.0,35.0,1.5,0.05,-14.19,2.948,31.47,True
EXP-400,20.0,35.0,2.0,0.05,-14.19,2.948,31.47,True
EXP-400,20.0,35.0,2.5,0.05,-14.19,2.948,31.47,True
EXP-400,20.0,35.0,3.0,0.05,-14.19,2.948,31.47,True
EXP-400,20.0,35.0,3.5,0.05,-14.19,2.948,31.47,True
EXP-400,20.0,35.0,1.5,0.1,-14.25,2.937,31.4,True
EXP-400,20.0,35.0,1.5,0.15,-14.25,2.937,31.4,True
EXP-400,20.0,35.0,1.5,0.25,-14.25,2.937,31.4,True
EXP-400,20.0,35.0,2.0,0.1,-14.25,2.937,31.4,True
EXP-400,20.0,35.0,2.0,0.15,-14.25,2.937,31.4,True
EXP-400,20.0,35.0,2.0,0.25,-14.25,2.937,31.4,True
EXP-400,20.0,35.0,2.5,0.1,-14.25,2.937,31.4,True
